model,seed,macro_f1,accuracy,weighted_f1,balanced_acc,macro_precision,macro_recall,kappa,mcc,top2_acc,top3_acc,mean_entropy,mean_confidence,ece,brier
svm_rbf,std,0.0,0.0,0.0,6.206335383118183e-17,0.0,6.206335383118183e-17,0.0,0.0,,,,,,
transformer,42,0.33919831433946585,0.5536117381489842,0.5814022038581086,0.38496371869264895,0.32366843214601027,0.38496371869264895,0.4574142505541401,0.46427897958562414,0.7381489841986456,0.827313769751693,0.9528635144233704,0.6707842350006104,0.12133445802647157,0.6122729778289795
transformer,43,0.3111999165480948,0.5197516930022573,0.5431035875869827,0.35075955645990736,0.307090858983444,0.35075955645990736,0.4145287315265437,0.4218596388605026,0.7121896162528216,0.7945823927765236,1.349020004272461,0.548477828502655,0.03733153207307474,0.6255947947502136
transformer,44,0.3341867073975302,0.6117381489841986,0.6047640117702612,0.37571861870349216,0.3148804669545173,0.37571861870349216,0.5062303617846302,0.5096320520725677,0.7516930022573364,0.8290067720090294,1.4922257661819458,0.5176253318786621,0.09425764423258955,0.556923508644104
transformer,45,0.31663203136524415,0.5174943566591422,0.5541683816477145,0.36860715237236946,0.29966470133008305,0.36860715237236946,0.4201164543764546,0.42727374491220976,0.7144469525959368,0.7951467268623025,1.5208899974822998,0.4940788447856903,0.05262380557525777,0.6385393142700195
transformer,46,0.2793492582038139,0.5479683972911964,0.568273921475837,0.32304423172338326,0.28114055529026183,0.32304423172338326,0.43824067789231214,0.4415871602333357,0.7116252821670429,0.7821670428893905,1.5161857604980469,0.5078577995300293,0.0675418077469814,0.6213245391845703
transformer,mean,0.3161132455708298,0.5501128668171558,0.5703424212677808,0.3606186555903602,0.30528900294086336,0.3606186555903602,0.44730609522681614,0.452926315132848,0.7256207674943567,0.8056433408577878,1.3662370085716247,0.5477648079395294,0.074617849530875,0.6109310269355774
transformer,std,0.023640913319720184,0.03807979888556077,0.02405720782310724,0.024461940994675187,0.016185074741666156,0.024461940994675187,0.036979919975771804,0.03569381164650475,0.018288255875901237,0.021208002308870468,0.2415830153016058,0.07161952912777166,0.033512090548297756,0.03163811616206305
xgboost,42,0.38225031997433634,0.6331828442437923,0.6586860835125367,0.4386950829707778,0.35917880761395027,0.4386950829707778,0.5484854780730467,0.552920936077133,,,,,,
xgboost,43,0.3839794918122843,0.6320541760722348,0.6562346596055557,0.4467857563360952,0.3581327605093878,0.4467857563360952,0.5471082751413346,0.5514447253985121,,,,,,
